en,vi
Go on,Tiếp tục đi
I try,Tôi sẽ thử
I try,Tôi sẽ thử xem sao
Eat it,Ăn đi
Eat it,Ăn nó đi
Listen,Nghe này
Really?,Thật sao
Really?,Thật á
I agree,Tôi cũng nghĩ như vậy
I agree,Tôi đồng ý
I agree,Tôi cũng nghĩ như thế
I agree,Tôi cũng nghĩ thế
We know,Chúng tôi biết
We know,Chúng ta biết
You run,Bạn chạy
Cheer up,Đừng có rầu rĩ quá như thế
Cheer up,Vui lên
Cheer up,Cười lên
He tries,Hắn thử
He tries,Anh ta thử
He tries,Anh ấy thử
I forgot,Tôi quên mất rồi
I forgot,Tôi đã quên rồi
I forgot,Tôi quên rồi
I'll try,Tôi sẽ thử
I'll try,Tôi sẽ thử xem sao
I'm bald,Tôi bị hói
I'm bald,Tôi bị trọc
I'm bald,Tôi không có tóc
I'm busy,Tôi đang bận
I'm busy,Tôi bận
I'm busy,Tôi không rảnh
Too late,Muộn quá
Too late,Quá muộn
Come here,Lại đây nào
Come here,Lại đây
Come here,Lại đây đi
Come here,Tới đây nào
Come here,Tới đây
Come here,Tới đây đi
Come here,Lại gần đây nào
Come here,Lại gần đây
Come here,Lại gần đây đi
Go to bed,Đi ngủ đi
I fainted,Tôi đã ngất đi
I fainted,Tôi đã xỉu
I fainted,Tôi đã xỉu đi
I fainted,Tôi đã ngất xỉu
I fainted,Tôi đã ngất
I fainted,Tôi đã bất tỉnh đi
I fainted,Tôi đã bất tỉnh
I fainted yesterday,Tôi đã ngất ngày hôm qua
I fainted yesterday,Tôi đã xỉu ngày hôm qua
I fainted yesterday,Tôi đã bất tỉnh ngày hôm qua
I hate TV,Tôi ghét ti vi
I don't like watching TV today,Tôi không thích xem ti vi hôm nay
I hate how people spend too much time watching TV,Tôi ghét cách mọi người dành quá nhiều thời gian xem ti vi
I hate how people spend too much time watching TV,Tôi ghét cách mọi người dành quá nhiều thời gian xem ti vi
I hate how people spend too much time watching TV,Tôi khó chịu với việc mọi người tốn quá nhiều thời gian xem ti vi
I hate how people spend too much time watching TV,Tôi bực mình khi thấy người ta dành nhiều thời gian xem ti vi
I hate how people spend too much time watching TV,Tôi không thích việc mọi người xem ti vi nhiều quá
I hate how people spend too much time watching TV,Tôi ghét cách mà người ta cứ xem ti vi suốt ngày
I hate how people spend too much time watching TV,Tôi chán ngán khi thấy mọi người dành quá nhiều thời gian cho ti vi
Tomorrow I won't watch TV because I hate it,Ngày mai tôi sẽ không xem ti vi vì tôi ghét nó
Tomorrow I won't watch TV because I hate it,Mai tôi không xem ti vi nữa vì tôi không thích
Tomorrow I won't watch TV because I hate it,Tôi ghét ti vi nên ngày mai tôi sẽ không xem
Tomorrow I won't watch TV because I hate it,Ngày mai tôi không muốn xem ti vi vì tôi chán nó lắm
Tomorrow I won't watch TV because I hate it,Mai tôi không xem ti vi đâu vì tôi chẳng thích chút nào
Tomorrow I won't watch TV because I hate it,Tôi không thích ti vi nên ngày mai tôi không xem nữa
I really hate current TV shows,Tôi thật sự ghét những chương trình ti vi hiện nay
I hate how TV wastes my time,Tôi ghét việc ti vi làm mất thời gian của tôi
I laughed,Tôi đã cười
I laughed,Tôi cười
I will go,Tôi sẽ đi
I really hate current TV shows,Tôi thật sự ghét những chương trình ti vi hiện nay
I really hate current TV shows,Tôi rất ghét các show ti vi bây giờ
I really hate current TV shows,Tôi chán ngán mấy chương trình ti vi thời này
I really hate current TV shows,Tôi không ưa các show ti vi hiện tại
I hate how TV wastes my time,Tôi ghét việc ti vi làm mất thời gian của tôi
I hate how TV wastes my time,Tôi bực mình vì ti vi làm tôi phí thời gian
I hate how TV wastes my time,Tôi không thích cách ti vi làm tôi mất giờ
I hate how TV wastes my time,Tôi chán việc ti vi khiến tôi lãng phí thời gian
I laughed,Tôi đã cười
I laughed,Tôi đã bật cười
I laughed,Tôi đã phá lên cười
I will go,Tôi đi đây
I will go,Tôi sắp đi rồi
I will go,Tôi phải đi thôi
Is it bad?,Nó có tồi không
Is it bad?,Nó có tệ không vậy
Is it bad?,Điều đó có xấu không
Is it bad?,Có phải nó không tốt không
Is it bad?,Nó có tồi không
It's cold,Lạnh
It's cold,Thời tiết lạnh
It's cold,Trời lạnh
It's ours,Đó là của chúng tôi
It's ours,Đó là của chúng ta
It's ours,Đó là của bọn ta
It's ours,Đó là của bọn tôi
It's ours,Đó là của bọn tao
Keep back,Lùi lại
Keep back,Lùi lại đi
Keep back,Lùi lại ngay
Look here,Lại đây
Seriously?,Thật á
She cried,Nó đã khóc
She cried,Cô ấy đã khóc
Sit there,Hãy ngồi ở đó
Stay home,Ở nhà
What's up?,Gì thế
Look here,Lại đây
Look here,Nhìn đây này
Look here,Nhìn chỗ này
Look here,Hãy xem đây
Seriously?,Nghiêm túc đấy à
Seriously?,Thật vậy sao
Seriously?,Thiệt không vậy
She cried,Cô ấy khóc rồi
She cried,Nó bật khóc
She cried,Cô ấy đã rơi nước mắt
Sit there,Hãy ngồi ở đó
Sit there,Ngồi chỗ kia đi
Sit there,Ngồi xuống đó
Sit there,Hãy ngồi chỗ đó
Stay home,Ở nhà
Stay home,Hãy ở nhà
Stay home,Ở lại nhà đi
Stay home,Đừng ra ngoài
What's up?,Gì thế
What's up?,Có chuyện gì vậy
What's up?,Sao thế
What's up?,Chuyện gì đang xảy ra vậy
What's up?,Có chuyện gì
Who knows?,Ai mà biết được
Who knows?,Biết sao được nhỉ
Who knows?,Làm sao mà biết
Who knows?,Chẳng ai biết được
Are you OK?,Bạn có sao không
Are you OK?,Bạn ổn chứ
Are you OK?,Bạn không sao chứ
Are you OK?,Bạn khỏe không
Find a job,Hãy tìm một công việc đi
Find a job,Kiếm việc làm đi
Find a job,Đi tìm việc đi
Find a job,Tìm việc làm nhé
Hurry home,Hãy mau về nhà đi
Hurry home,Về nhà nhanh lên
Hurry home,Mau về nhà thôi
Hurry home,Nhanh chân về nhà đi
I can read,Tôi đọc được
I can read,Tôi biết đọc
I can read,Tôi có thể đọc được
I can read,Tôi đọc thành thạo
I did that,Tôi đã làm đấy
I did that,Tôi làm rồi
I did that,Tôi đã làm việc đó
I did that,Tôi làm xong rồi
I guess so,Tôi đoán vậy
I guess so,Có lẽ thế
I guess so,Chắc là vậy
I guess so,Tôi nghĩ thế
I hate you,Tôi ghét anh
I hate you,Tôi ghét cậu
I hate you,Tôi không ưa bạn
I hate you,Tôi căm ghét anh
I love her,Tôi yêu cô ấy
I love her,Tôi thích cô ấy
I love her,Tôi đem lòng yêu cô ấy
I love her,Tôi phải lòng cô ấy
I love you,Anh phải lòng em
I love you,Tôi yêu bạn
I love you,Em yêu anh
I love you,Anh yêu em
I'm lonely,Tôi cảm thấy cô đơn
I'm lonely,Tôi thấy buồn
I'm lonely,Tôi đang rất cô đơn
I'm lonely,Tôi thấy lẻ loi quá
I'm so fat,Tôi béo quá
I'm so fat,Tôi béo vãi
I'm so fat,Tôi béo quá
It's magic,Đó là phép thuật
Let me try,Để tôi thử
No kidding?,Không đùa chứ
No kidding?,Thật không đấy
No kidding?,Bạn nói nghiêm túc đấy à
No kidding?,Có thật vậy không
Time is up,Thời gian đã hết
Time is up,Hết giờ
Time is up,Hết thời gian
Time is up,Đã đến lúc kết thúc rồi
Tom winked,Tom đã nháy mắt
Tom winked,Tom nháy mắt
Tom winked,Tom khẽ chớp mắt
Tom winked,Tom nháy mắt đùa cợt
Who's here?,Ai đây
Who's here?,Có ai ở đây không
Who's here?,Ai đang có mặt vậy
Who's here?,Ai đang ở đây thế
Be punctual,Hãy đúng giờ
Be punctual,Đừng đến muộn nhé
Be punctual,Hãy luôn đúng hẹn
Be punctual,Cố gắng đến đúng giờ nhé
Don't fight,Đừng đánh nhau
Don't fight,Đừng có mà đánh nhau
Don't fight,Đừng cãi nhau nữa
Don't fight,Thôi đừng gây sự nữa
Go to sleep,Đi ngủ đi
Go to sleep,Hãy đi ngủ thôi
Go to sleep,Đến giờ ngủ rồi đấy
Go to sleep,Nên đi ngủ thôi
I heard you,Tôi nghe bạn rồi
I heard you,Tôi đã nghe thấy rồi
I heard you,Tôi nghe rõ những gì bạn nói rồi
I heard you,Tôi đã lắng nghe bạn xong rồi
I like both,Tôi thích cả hai cái
I like both,Tôi thích cả hai
I like both,Tôi ưa cả hai thứ
